ID,Name,Energy,Loudness,Speechiness,Instrumentalness,Type,time_signature
5dsvONcwN0KKLJQhadphSY,Necesito,0.617,-8.701,0.0413,7.89E-05,audio_features,4
31lea1ikEz7VUvcQgtGb2h,PiensoSoloEnTíAKAPiensoEnTí,0.863,-4.494,0.0348,0.000216,audio_features,4
41dBR9Gy1WZSiBkLBWbl2l,PorqueTeAmo,0.797,-4.19,0.0517,6.07E-05,audio_features,4
2UpoA15YFW9ItA8BjXUOJg,EntreLaEspadayLaPared,0.726,-4.752,0.0363,2.74E-06,audio_features,4
2qZJP5pC4VS1GaOz4YfpQ3,EresLaUnica,0.832,-4.09,0.0356,4.82E-05,audio_features,4
1ngWLwko1GnliVV9kHj4CC,Caradura,0.783,-6.669,0.0371,0.000123,audio_features,4
0vMywJjFDTF7fhUxTBD3a3,SiMeVesLlorar,0.855,-5.544,0.0345,0.000607,audio_features,4
3VpNc3hUBat80xf8iYdxFB,ComoLoHacesConmigo,0.781,-5.764,0.0346,1.82E-05,audio_features,4
0vAA0c6zf8pCWgmIj4Oggx,YNosAmamos,0.88,-4.326,0.0364,0.00176,audio_features,4
0xmJ2dkjjdmjCvOxoQccuU,LoboDomesticado,0.774,-8.879,0.0501,0.000332,audio_features,4
6sXZpWYwFJ8JaN3q6kLkCV,CincoNoches,0.715,-6.136,0.0477,0.000108,audio_features,4
0MscJ7Pq6ZNffU5958j9pZ,25Rosas,0.728,-6.871,0.0521,0.000637,audio_features,4
2uQxW2X6cJjeE4zf1aZVoL,CómoTeHagoEntender,0.927,-0.858,0.0381,3.28E-06,audio_features,4
09OcTizUJdCsGn3ubxaG9G,UnoSeCura,0.752,-6.17,0.0347,0.000524,audio_features,4
2kzquEERgcPf5uO55ARVRR,LadyLaura,0.73,-6.392,0.0426,5.33E-06,audio_features,4
60T9E5dxb4076R7fv3Njjo,EllaSeHizoDeseo,0.563,-11.399,0.0384,0.000153,audio_features,4
6YLUqAK8McGS8nJWqjUhz2,Doble,0.581,-11.08,0.0342,0.000419,audio_features,4
7lNFjnHxSIvjD0XLAECf2L,ViernesSocial,0.52,-9.852,0.0496,0,audio_features,4
4tmtyrXwqrMfVfldGW7rb0,AmameenCamaraLenta,0.806,-3.934,0.0435,1.50E-05,audio_features,4
41Mh9D7zyvbGqHq7mppHIL,VamosADarnosTiempo,0.643,-8.285,0.0389,7.23E-06,audio_features,4
2EjiJtHD8cxLw0LKufFGXE,QueHareSinTi,0.884,-3.809,0.0375,6.61E-06,audio_features,4
